iter	Passed	Remaining
0	17	16992
1	31	15664
2	45	15073
3	59	14759
4	73	14601
5	87	14530
6	102	14494
7	116	14400
8	129	14291
9	143	14216
10	157	14181
11	172	14174
12	188	14312
13	203	14319
14	217	14287
15	232	14317
16	246	14264
17	261	14292
18	275	14221
19	290	14216
20	304	14208
21	318	14169
22	332	14118
23	345	14070
24	361	14084
25	374	14036
26	390	14075
27	406	14096
28	420	14087
29	435	14083
30	450	14094
31	465	14081
32	479	14061
33	496	14097
34	513	14149
35	527	14133
36	541	14098
37	555	14059
38	569	14040
39	584	14028
40	600	14044
41	615	14030
42	628	13997
43	642	13963
44	656	13926
45	688	14285
46	705	14301
47	719	14275
48	733	14240
49	748	14214
50	761	14177
51	776	14147
52	790	14122
53	804	14099
54	819	14080
55	836	14102
56	854	14134
57	870	14134
58	886	14132
59	900	14108
60	932	14350
61	953	14428
62	975	14516
63	993	14527
64	1013	14572
65	1028	14556
66	1042	14520
67	1057	14490
68	1071	14457
69	1087	14450
70	1102	14422
71	1117	14399
72	1132	14375
73	1145	14337
74	1159	14300
75	1173	14267
76	1186	14227
77	1200	14189
78	1215	14165
79	1229	14138
80	1243	14104
81	1256	14071
82	1270	14038
83	1284	14008
84	1298	13979
85	1313	13962
86	1328	13938
87	1343	13922
88	1357	13893
89	1371	13865
90	1384	13834
91	1398	13806
92	1412	13778
93	1426	13751
94	1440	13722
95	1454	13694
96	1468	13671
97	1481	13639
98	1495	13612
99	1511	13600
100	1525	13576
101	1539	13554
102	1553	13527
103	1568	13510
104	1582	13491
105	1607	13561
106	1626	13574
107	1649	13621
108	1666	13619
109	1688	13662
110	1703	13645
111	1719	13630
112	1734	13616
113	1750	13607
114	1765	13587
115	1779	13557
116	1793	13532
117	1806	13506
118	1820	13478
119	1834	13451
120	1848	13430
121	1863	13409
122	1877	13385
123	1891	13361
124	1905	13337
125	1919	13312
126	1933	13291
127	1948	13276
128	1963	13254
129	1977	13231
130	1991	13208
131	2006	13191
132	2019	13166
133	2033	13140
134	2047	13118
135	2061	13096
136	2075	13073
137	2089	13051
138	2103	13026
139	2116	13003
140	2131	12986
141	2147	12974
142	2161	12954
143	2175	12934
144	2191	12922
145	2206	12905
146	2220	12884
147	2234	12865
148	2248	12844
149	2263	12823
150	2277	12805
151	2291	12785
152	2306	12766
153	2321	12751
154	2336	12737
155	2350	12717
156	2366	12708
157	2380	12684
158	2394	12665
159	2408	12646
160	2423	12628
161	2437	12608
162	2451	12589
163	2465	12566
164	2478	12544
165	2493	12529
166	2507	12506
167	2521	12486
168	2535	12467
169	2550	12454
170	2587	12542
171	2603	12530
172	2618	12517
173	2632	12497
174	2647	12479
175	2661	12458
176	2674	12435
177	2688	12416
178	2702	12397
179	2717	12381
180	2732	12362
181	2746	12343
182	2760	12323
183	2774	12302
184	2789	12289
185	2803	12269
186	2821	12265
187	2835	12246
188	2849	12227
189	2864	12209
190	2877	12187
191	2892	12171
192	2906	12152
193	2920	12131
194	2934	12112
195	2949	12097
196	2963	12079
197	2977	12062
198	2991	12041
199	3010	12042
200	3026	12028
201	3040	12009
202	3055	11994
203	3068	11972
204	3082	11953
205	3097	11939
206	3112	11922
207	3125	11901
208	3139	11881
209	3153	11862
210	3166	11841
211	3180	11822
212	3195	11807
213	3209	11787
214	3226	11781
215	3242	11767
216	3257	11752
217	3272	11740
218	3288	11727
219	3305	11717
220	3321	11708
221	3335	11688
222	3349	11669
223	3363	11653
224	3378	11635
225	3392	11617
226	3407	11602
227	3421	11584
228	3436	11569
229	3450	11551
230	3464	11533
231	3478	11516
232	3492	11498
233	3509	11488
234	3524	11474
235	3540	11461
236	3556	11448
237	3570	11432
238	3584	11414
239	3598	11394
240	3613	11379
241	3628	11366
242	3643	11351
243	3658	11334
244	3672	11316
245	3686	11298
246	3699	11279
247	3714	11263
248	3728	11245
249	3742	11227
250	3756	11211
251	3771	11194
252	3785	11175
253	3799	11158
254	3813	11142
255	3827	11124
256	3843	11110
257	3858	11095
258	3872	11079
259	3886	11062
260	3900	11044
261	3915	11029
262	3929	11010
263	3942	10992
264	3957	10976
265	3971	10959
266	3985	10941
267	3999	10925
268	4015	10911
269	4028	10892
270	4043	10876
271	4058	10862
272	4074	10849
273	4088	10832
274	4103	10817
275	4117	10800
276	4132	10785
277	4147	10770
278	4163	10758
279	4177	10741
280	4190	10722
281	4205	10706
282	4218	10688
283	4234	10676
284	4251	10666
285	4267	10654
286	4284	10643
287	4301	10633
288	4317	10621
289	4333	10609
290	4348	10594
291	4363	10580
292	4377	10562
293	4391	10545
294	4407	10533
295	4421	10516
296	4437	10503
297	4451	10487
298	4467	10473
299	4481	10457
300	4498	10446
301	4512	10429
302	4526	10412
303	4541	10397
304	4557	10385
305	4573	10371
306	4587	10355
307	4601	10338
308	4616	10323
309	4631	10308
310	4646	10294
311	4661	10280
312	4676	10264
313	4706	10282
314	4724	10273
315	4739	10258
316	4754	10243
317	4768	10226
318	4782	10210
319	4797	10193
320	4812	10180
321	4826	10163
322	4842	10149
323	4857	10133
324	4872	10119
325	4888	10107
326	4903	10092
327	4920	10080
328	4934	10064
329	4949	10048
330	4964	10032
331	4978	10016
332	4992	9999
333	5006	9982
334	5021	9967
335	5034	9949
336	5048	9932
337	5072	9934
338	5087	9919
339	5101	9902
340	5116	9888
341	5131	9872
342	5145	9856
343	5159	9839
344	5173	9822
345	5187	9806
346	5202	9791
347	5217	9774
348	5230	9757
349	5244	9740
350	5258	9723
351	5272	9706
352	5286	9688
353	5301	9674
354	5317	9660
355	5330	9642
356	5344	9625
357	5358	9610
358	5372	9592
359	5386	9575
360	5400	9558
361	5414	9541
362	5427	9524
363	5441	9508
364	5455	9490
365	5469	9474
366	5484	9460
367	5498	9443
368	5512	9425
369	5526	9410
370	5542	9396
371	5556	9380
372	5570	9363
373	5584	9346
374	5597	9329
375	5611	9312
376	5626	9297
377	5640	9281
378	5654	9264
379	5668	9247
380	5682	9231
381	5695	9214
382	5709	9198
383	5723	9180
384	5737	9165
385	5753	9151
386	5767	9135
387	5781	9119
388	5795	9102
389	5810	9087
390	5823	9071
391	5838	9054
392	5852	9039
393	5866	9023
394	5879	9005
395	5893	8989
396	5907	8972
397	5920	8955
398	5935	8939
399	5949	8924
400	5965	8910
401	5979	8894
402	5992	8877
403	6007	8861
404	6020	8845
405	6034	8828
406	6048	8812
407	6062	8796
408	6076	8780
409	6090	8765
410	6104	8748
411	6117	8731
412	6131	8714
413	6146	8700
414	6161	8685
415	6177	8672
416	6192	8657
417	6206	8641
418	6220	8625
419	6234	8608
420	6248	8593
421	6263	8578
422	6277	8563
423	6292	8548
424	6306	8531
425	6320	8515
426	6333	8499
427	6347	8483
428	6363	8470
429	6378	8455
430	6394	8441
431	6408	8426
432	6422	8410
433	6435	8393
434	6449	8376
435	6464	8362
436	6480	8349
437	6495	8334
438	6509	8317
439	6525	8305
440	6541	8291
441	6557	8278
442	6571	8262
443	6586	8248
444	6616	8251
445	6633	8239
446	6647	8223
447	6662	8208
448	6677	8193
449	6691	8178
450	6704	8161
451	6718	8145
452	6731	8128
453	6745	8112
454	6760	8097
455	6775	8082
456	6790	8068
457	6805	8053
458	6820	8039
459	6834	8023
460	6849	8008
461	6863	7992
462	6880	7979
463	6893	7963
464	6909	7949
465	6923	7933
466	6937	7917
467	6951	7901
468	6965	7886
469	6980	7871
470	6994	7855
471	7008	7839
472	7023	7824
473	7038	7810
474	7052	7795
475	7067	7780
476	7081	7764
477	7094	7747
478	7107	7731
479	7121	7715
480	7135	7699
481	7148	7682
482	7162	7666
483	7176	7650
484	7190	7634
485	7203	7618
486	7218	7603
487	7232	7587
488	7245	7571
489	7260	7557
490	7274	7541
491	7288	7525
492	7302	7509
493	7316	7494
494	7329	7478
495	7343	7462
496	7357	7446
497	7372	7431
498	7386	7415
499	7399	7399
500	7413	7384
501	7427	7368
502	7441	7352
503	7455	7337
504	7470	7322
505	7485	7307
506	7499	7292
507	7514	7277
508	7528	7261
509	7541	7246
510	7556	7231
511	7571	7216
512	7585	7201
513	7599	7185
514	7614	7170
515	7627	7154
516	7641	7138
517	7654	7122
518	7668	7107
519	7682	7091
520	7697	7077
521	7713	7062
522	7727	7048
523	7741	7032
524	7794	7051
525	7816	7044
526	7832	7029
527	7845	7013
528	7860	6998
529	7873	6982
530	7887	6966
531	7902	6952
532	7916	6936
533	7931	6921
534	7945	6905
535	7959	6890
536	7972	6874
537	7986	6858
538	8000	6842
539	8014	6827
540	8028	6811
541	8042	6796
542	8056	6780
543	8070	6764
544	8083	6748
545	8097	6733
546	8112	6718
547	8128	6704
548	8142	6689
549	8157	6674
550	8173	6660
551	8189	6646
552	8203	6631
553	8222	6619
554	8237	6605
555	8254	6591
556	8270	6577
557	8284	6562
558	8300	6547
559	8331	6546
560	8350	6534
561	8366	6520
562	8383	6507
563	8399	6493
564	8417	6480
565	8432	6465
566	8445	6449
567	8459	6434
568	8473	6418
569	8489	6404
570	8506	6390
571	8523	6377
572	8538	6362
573	8552	6347
574	8568	6333
575	8582	6317
576	8597	6302
577	8613	6288
578	8627	6272
579	8641	6257
580	8655	6242
581	8669	6226
582	8684	6211
583	8698	6196
584	8714	6181
585	8729	6167
586	8744	6152
587	8759	6137
588	8773	6121
589	8788	6106
590	8804	6093
591	8819	6078
592	8834	6063
593	8848	6047
594	8862	6032
595	8876	6016
596	8890	6001
597	8906	5987
598	8921	5972
599	8936	5957
600	8952	5943
601	8966	5928
602	8980	5912
603	9017	5912
604	9040	5902
605	9053	5886
606	9068	5871
607	9082	5855
608	9096	5840
609	9110	5824
610	9124	5809
611	9138	5794
612	9153	5779
613	9168	5763
614	9184	5749
615	9200	5735
616	9215	5720
617	9233	5707
618	9251	5694
619	9268	5680
620	9284	5666
621	9299	5651
622	9313	5636
623	9329	5621
624	9345	5607
625	9360	5592
626	9377	5578
627	9392	5563
628	9406	5548
629	9420	5532
630	9435	5517
631	9450	5502
632	9465	5487
633	9479	5472
634	9493	5456
635	9508	5441
636	9522	5426
637	9538	5411
638	9554	5397
639	9571	5383
640	9588	5369
641	9604	5355
642	9619	5340
643	9635	5326
644	9650	5311
645	9666	5297
646	9681	5281
647	9695	5266
648	9710	5251
649	9725	5236
650	9741	5222
651	9756	5207
652	9770	5191
653	9785	5176
654	9801	5162
655	9816	5147
656	9830	5132
657	9844	5116
658	9858	5101
659	9872	5085
660	9886	5070
661	9900	5054
662	9913	5039
663	9927	5023
664	9941	5008
665	9955	4992
666	9969	4977
667	9982	4961
668	9996	4946
669	10010	4930
670	10042	4923
671	10057	4908
672	10071	4893
673	10086	4878
674	10100	4863
675	10114	4847
676	10128	4832
677	10142	4816
678	10157	4801
679	10171	4786
680	10186	4771
681	10200	4756
682	10214	4741
683	10229	4725
684	10245	4711
685	10259	4696
686	10273	4680
687	10287	4665
688	10303	4650
689	10318	4635
690	10333	4620
691	10349	4606
692	10363	4591
693	10378	4576
694	10392	4560
695	10407	4545
696	10423	4531
697	10437	4516
698	10452	4501
699	10467	4485
700	10481	4470
701	10495	4455
702	10509	4440
703	10523	4424
704	10536	4409
705	10552	4394
706	10567	4379
707	10580	4363
708	10594	4348
709	10608	4333
710	10623	4317
711	10636	4302
712	10651	4287
713	10667	4272
714	10681	4257
715	10695	4242
716	10709	4226
717	10723	4211
718	10737	4196
719	10753	4181
720	10768	4166
721	10782	4151
722	10797	4136
723	10811	4121
724	10828	4107
725	10843	4092
726	10859	4077
727	10874	4063
728	10888	4047
729	10902	4032
730	10916	4017
731	10930	4001
732	10945	3986
733	10960	3971
734	10974	3956
735	10988	3941
736	11002	3926
737	11016	3910
738	11030	3895
739	11044	3880
